Date,Open,High,Low,Close,Adj Close,Volume
2022-09-06,716.000000,724.750000,706.299988,709.450012,709.450012,1221573
2022-09-07,707.000000,715.450012,703.599976,706.750000,706.750000,758791
2022-09-08,713.750000,718.950012,705.000000,707.000000,707.000000,748399
2022-09-09,713.750000,740.000000,708.200012,727.900024,727.900024,2048848
2022-09-12,730.000000,748.000000,725.000000,736.650024,736.650024,1511858
2022-09-13,739.900024,743.549988,733.000000,735.700012,735.700012,784495
2022-09-14,724.000000,732.950012,711.950012,725.650024,725.650024,1385890
2022-09-15,730.000000,736.799988,720.000000,729.750000,729.750000,826887
2022-09-16,730.000000,731.200012,686.849976,718.599976,718.599976,2351957
2022-09-19,720.500000,725.000000,702.000000,706.950012,706.950012,967978
2022-09-20,710.099976,714.799988,690.549988,697.450012,697.450012,892041
2022-09-21,699.950012,705.000000,680.700012,684.549988,684.549988,854832
2022-09-22,683.000000,692.400024,680.049988,685.000000,685.000000,613123
2022-09-23,706.000000,707.000000,688.000000,692.599976,692.599976,1573621
2022-09-26,691.099976,692.599976,651.000000,657.500000,657.500000,881195
2022-09-27,665.000000,671.099976,657.000000,660.000000,660.000000,512978
2022-09-28,660.000000,664.000000,639.099976,643.200012,643.200012,632376
2022-09-29,655.000000,655.000000,629.549988,632.150024,632.150024,649589
2022-09-30,637.650024,649.299988,631.150024,637.950012,637.950012,863947
2022-10-03,644.750000,665.900024,641.750000,660.000000,660.000000,1617989
2022-10-04,670.900024,677.349976,664.099976,674.950012,674.950012,743798
2022-10-06,679.950012,693.750000,676.599976,688.599976,688.599976,894531
2022-10-07,688.599976,711.150024,687.099976,707.450012,707.450012,1304985
2022-10-10,707.000000,745.450012,703.250000,727.250000,727.250000,3150552
2022-10-11,729.950012,737.349976,705.900024,708.099976,708.099976,1077900
2022-10-12,713.000000,715.450012,697.000000,700.700012,700.700012,693019
2022-10-13,704.000000,704.750000,684.000000,686.099976,686.099976,616004
2022-10-14,698.200012,698.700012,676.599976,681.500000,681.500000,633179
2022-10-17,676.000000,680.799988,670.500000,672.549988,672.549988,516956
2022-10-18,677.000000,680.750000,660.000000,662.450012,662.450012,747176
2022-10-19,663.900024,664.750000,651.000000,652.450012,652.450012,708624
2022-10-20,650.000000,651.000000,631.000000,632.750000,632.750000,1456253
2022-10-21,637.599976,644.000000,625.000000,629.599976,629.599976,1006943
2022-10-24,643.000000,644.200012,633.000000,637.500000,637.500000,202196
2022-10-25,640.000000,659.500000,631.049988,656.349976,656.349976,1212999
2022-10-27,660.000000,663.799988,645.299988,649.849976,649.849976,669899
2022-10-28,653.150024,654.000000,639.099976,642.849976,642.849976,774719
2022-10-31,645.000000,645.750000,635.599976,638.400024,638.400024,582580
2022-11-01,640.000000,659.500000,640.000000,642.900024,642.900024,988385
2022-11-02,642.900024,651.650024,640.400024,642.599976,642.599976,533593
2022-11-03,642.599976,648.750000,637.049988,643.049988,643.049988,498535
2022-11-04,646.000000,654.200012,644.250000,650.349976,650.349976,1530188
2022-11-07,653.000000,659.000000,645.000000,651.250000,651.250000,878656
2022-11-09,655.000000,668.400024,640.049988,643.650024,643.650024,1428342
2022-11-10,644.000000,644.000000,624.099976,626.900024,626.900024,784348
2022-11-11,635.000000,644.650024,627.900024,632.000000,632.000000,859515
2022-11-14,642.000000,654.900024,634.150024,638.549988,638.549988,940844
2022-11-15,630.000000,639.500000,624.000000,626.500000,626.500000,1596845
2022-11-16,625.000000,629.000000,600.000000,601.450012,601.450012,3551921
2022-11-17,562.750000,565.750000,535.000000,539.799988,539.799988,57200417
2022-11-18,542.500000,553.099976,526.900024,547.000000,547.000000,11295660
2022-11-21,546.000000,553.000000,531.750000,537.000000,537.000000,2986439
2022-11-22,535.000000,537.000000,474.299988,476.799988,476.799988,22414284
2022-11-23,480.899994,488.700012,438.350006,452.399994,452.399994,17232998
2022-11-24,457.049988,467.000000,440.000000,441.100006,441.100006,16315961
2022-11-25,454.000000,475.299988,448.000000,465.200012,465.200012,19970739
2022-11-28,444.000000,479.500000,441.000000,461.500000,461.500000,19592854
2022-11-29,476.000000,486.899994,471.149994,483.899994,483.899994,14699496
2022-11-30,485.000000,488.500000,477.200012,481.700012,481.700012,7092034
2022-12-01,486.500000,504.700012,485.250000,501.049988,501.049988,12960605
2022-12-02,507.500000,543.650024,507.500000,536.950012,536.950012,21731464
2022-12-05,543.750000,548.700012,521.200012,523.349976,523.349976,12261228
2022-12-06,523.000000,528.000000,511.750000,514.650024,514.650024,5321487
2022-12-07,516.750000,523.400024,506.100006,509.899994,509.899994,5001636
2022-12-08,512.450012,515.950012,506.000000,508.200012,508.200012,3079727
2022-12-09,544.000000,548.000000,527.549988,544.599976,544.599976,20423508
2022-12-12,544.599976,554.450012,525.049988,528.750000,528.750000,7750318
2022-12-13,535.000000,545.000000,533.250000,539.400024,539.400024,5699433
